date,name,code,close,trading_value_billion
20241023,샤페론,378800,4733,2017
20241016,펩트론,087010,97500,5068
20240920,유한양행,000100,145400,20360
20240920,넥스트바이오메디컬,389650,47400,3910
20240828,유한양행,000100,135500,25291
20240821,화성밸브,039610,14310,3539
20240801,넥슨게임즈,225570,28800,3428
20240723,LS ELECTRIC,010120,51800,5146
20240723,HD현대일렉트릭,267260,346000,6799
20240719,펩트론,087010,78497,4108
20240709,우리기술,032820,2825,5228
20240709,한전산업,130660,14670,2268
20240625,삼성공조,006660,17300,2797
20240621,제룡전기,033100,84500,4238
20240621,제룡산업,147830,9830,4464
20240617,제이앤티씨,204270,22100,3454
20240604,알테오젠,196170,233500,10632
20240531,와이씨,232140,17910,6671
20240513,대한전선,001440,18110,14938
20240507,대원전선,006340,4170,5071
20240424,제룡전기,033100,61500,2994
20240418,디아이,003160,24300,2662
20240409,자람테크놀로지,389020,112500,3675
20240403,필옵틱스,161580,27350,6393
20240402,엑시콘,092870,31909,5433
20240328,한미반도체,042700,134000,13111
20240328,가온칩스,399720,123000,5985
20240325,HLB생명과학,067630,23680,3294
20240321,한국비엔씨,256840,9090,2354
20240308,HLB,028300,98000,11907
20240222,가온칩스,399720,110300,6231
20240220,신성델타테크,065350,148400,6704
20240219,엔켐,348370,301500,5283
20240213,엔켐,348370,267500,6275
20240213,가온칩스,399720,87300,3688
20240213,HPSP,403870,59300,9196
20240207,신성델타테크,065350,117300,5021
20240205,신성델타테크,065350,102300,5958
20240201,엔켐,348370,180800,2541
20240129,엔켐,348370,169500,7787
20240126,HLB,028300,65200,10269
20240126,신성델타테크,065350,89500,4580
20240122,네오셈,253590,14270,3208
20240118,엔켐,348370,129000,3549
20240108,신성델타테크,065350,72500,6256
20240102,제주반도체,080220,16700,3677
20240102,퀄리타스반도체,432720,44602,2366
20231221,알테오젠,196170,88100,5495
20231218,에코프로머티,450080,213000,18644
20231218,두산로보틱스,454910,107800,8298
20231215,에코프로머티,450080,169000,16756
20231127,에이직랜드,445090,54400,2449
20231127,에코프로머티,450080,124600,15564
20230907,유진로봇,056080,14100,4625
20230905,루닛,328130,52275,4516
20230904,포스코DX,022100,58200,8442
20230901,스마트레이더시스템,424960,30000,3726
20230831,포스코DX,022100,56100,14093
20230830,스마트레이더시스템,424960,22100,3623
20230824,폴라리스오피스,041020,7150,4786
20230824,큐렉소,060280,24400,5735
20230818,한미반도체,042700,57800,9585
20230816,LS에코에너지,229640,17180,4202
20230814,LS에코에너지,229640,13220,3617
20230811,파워로직스,047310,12870,4168
20230804,폴라리스오피스,041020,6140,2595
20230804,에코프로에이치엔,383310,103598,8567
20230727,ISC,095340,107300,2162
20230724,포스코인터내셔널,047050,66000,7198
20230720,포스코DX,022100,31050,13159
20230718,에코프로비엠,247540,326000,18321
20230713,포스코DX,022100,25250,14441
20230713,한미반도체,042700,41200,7981
20230711,포스코DX,022100,20250,9788
20230703,에코프로,086520,178150,25127
20230626,루닛,328130,39014,5149
20230619,한화에어로스페이스,012450,139868,4544
20230619,애경케미칼,161000,26650,4269
20230614,애경케미칼,161000,22500,5138
20230613,이수스페셜티케미컬,457190,80600,7160
20230609,이수페타시스,007660,17301,6867
20230608,포스코인터내셔널,047050,38700,5359
20230519,한미반도체,042700,25950,6516
20230510,애경케미칼,161000,21350,5685
20230503,유니온,000910,11330,4503
20230503,유니온머티리얼,047400,6720,4037
20230502,유니온머티리얼,047400,5170,3000
20230502,바이오니아,064550,73300,5479
20230421,한농화성,011500,26150,5996
20230419,KG케미칼,001390,12140,3037
20230418,이브이첨단소재,131400,13760,2951
20230418,레이크머티리얼즈,281740,15600,7463
20230417,포스코엠텍,009520,32800,5099
20230417,포스코DX,022100,15600,10482
20230417,이브이첨단소재,131400,10590,3364
20230414,포스코엠텍,009520,28400,6210
20230413,포스코DX,022100,11660,6127
20230412,성우하이텍,015750,10060,6376
20230410,에코프로,086520,141656,24361
20230407,앱튼,270520,66700,7476
20230403,코스모신소재,005070,187978,5289
20230403,코스모화학,005420,63763,4617
20230403,하이드로리튬,101670,49750,3662
20230403,나노신소재,121600,175700,4745
20230330,앱튼,270520,31516,2664
20230329,포스코엠텍,009520,22750,5884
20230329,에코프로,086520,97806,13136
20230327,포스코엠텍,009520,18250,4208
20230324,MDS테크,086960,9408,6415
20230323,이수화학,005950,23850,5240
20230323,셀바스AI,108860,33482,6074
20230321,이수화학,005950,19550,2984
20230320,코스모신소재,005070,104806,3052
20230313,에코프로,086520,70926,9469
20230308,에코프로,086520,65531,7337
20230306,솔트룩스,304100,41150,2903
20230227,에코프로,086520,54936,5681
20230224,MDS테크,086960,8645,7154
20230224,코난테크놀로지,402030,72181,3530
20230223,셀바스AI,108860,27733,5536
20230217,셀바스AI,108860,18968,4460
20230213,셀바스AI,108860,16910,4681
20230213,오픈엣지테크놀로지,394280,21600,2809
20230125,레인보우로보틱스,277810,87200,5022
20230119,SAMG엔터,419530,46850,2610
20230105,SAMG엔터,419530,36500,2525
20221121,하이드로리튬,101670,28350,2518
20221103,미래나노텍,095500,19950,5150
20221007,한미글로벌,053690,33100,4172
20220907,미래나노텍,095500,13250,3512
20220830,새빗켐,107600,173000,3707
20220816,박셀바이오,323990,73987,7022
20220602,휴림로봇,090710,12300,8267
20220520,대주산업,003310,5620,2925
20220503,휴림로봇,090710,9588,6915
20220426,팜스토리,027710,5320,5084
20220426,휴림로봇,090710,6875,7003
20220425,팜스토리,027710,4095,6128
20220421,한일사료,005860,10250,3980
20220421,한신기계,011700,12650,6292
20220420,일동홀딩스,000230,51200,3274
20220418,일동홀딩스,000230,38950,2960
20220404,한신기계,011700,10050,5494
20220328,오토앤,353590,24150,4736
20220325,일동제약,249420,69800,10816
20220323,보성파워텍,006910,8050,7240
20220323,한신기계,011700,9290,5869
20220323,안랩,053800,175800,7318
20220322,안랩,053800,135300,5553
20220322,미래생명자원,218150,11750,2598
20220225,중앙에너비스,000440,36850,4350
20220225,로보로보,215100,10650,3748
20220225,일동제약,249420,58500,10560
20220214,지에스이,053050,4660,2151
20220207,일동제약,249420,47450,8813
20220204,퍼스텍,010820,5250,4006
20220104,SKAI,357880,13003,3428
20211228,컴투스홀딩스,063080,218000,5388
