date,name,code,close,trading_value_billion,daily_return_pct,is_new_listing
20250509,원일티엔아이,136150,35900,7755,52.12%,Y
20250509,오가노이드사이언스,476040,32000,7950,25.98%,Y
20250508,에이피알,278470,99300,9264,30.14%,N
20250429,더즌,462860,4725,2410,24.34%,Y
20250425,한국선재,25550,5610,3048,20.39%,N
20250422,네이처셀,7390,33250,2156,30.39%,N
20250421,대주산업,3310,3315,2243,18.39%,N
20250414,솔트룩스,304100,39950,4203,20.33%,N
20250411,펩트론,87010,164700,4070,31.65%,N
20250410,한텍,98070,42750,4317,29.94%,Y
20250407,대상홀딩스,84690,16930,2695,15.96%,N
20250407,코나아이,52400,45600,2427,25.62%,N
20250407,안랩,53800,111800,3612,17.68%,N
20250404,안랩,53800,94000,2474,25.33%,N
20250403,유일로보틱스,388720,93900,3069,30.60%,N
20250327,에어레인,163280,9070,2699,16.28%,Y
20250321,한텍,98070,30450,5524,20.12%,Y
20250319,서울보증보험,31210,37400,4582,16.88%,Y
20250318,에어레인,163280,9500,2349,25.50%,Y
20250317,오리엔트정공,65500,9640,2169,22.18%,N
20250304,휴스틸,5010,5600,2030,16.18%,N
20250304,넥스틸,92790,14140,2391,31.53%,N
20250224,위너스일렉,479960,34000,8413,44.99%,Y
20250218,LS ELECTRIC,10120,56800,4992,17.84%,N
20250218,에이비엘바이오,298380,46900,3224,20.26%,N
20250218,유일로보틱스,388720,65000,2184,20.37%,N
20250218,오름테라퓨틱,475830,36750,3415,15.02%,Y
20250214,에이치브이엠,295310,32750,2606,20.63%,Y
20250213,한화비전,489790,54400,7157,30.46%,Y
20250213,대동기어,8830,24850,2804,15.85%,N
20250212,한화시스템,272210,32800,14217,27.63%,N
20250212,아이에스티이,212710,22500,9028,55.93%,Y
20250211,삼양엔씨켐,482630,14375,4415,27.21%,Y
20250207,전진건설로봇,79900,54600,3193,26.10%,Y
20250207,대동기어,8830,19490,2401,25.10%,N
20250206,현대로템,64350,71500,5867,17.60%,N
20250206,필옵틱스,161580,38300,2703,23.35%,N
20250205,클로봇,466100,14580,4850,27.78%,Y
20250131,레인보우로보틱스,277810,299500,5152,23.25%,N
20250117,LS에코에너지,229640,50800,3495,24.36%,N
20250115,산일전기,62040,81600,2241,15.25%,Y
20250110,전진건설로봇,79900,42600,2720,20.85%,Y
20250108,신세계 I&C,35510,16710,3481,16.04%,N
20250107,제이씨현시스템,33320,6990,2315,16.50%,N
20241219,SG글로벌,1380,9347,3484,28.34%,N
20241219,전진건설로봇,79900,35300,2492,30.26%,Y
20241216,엑스게이트,356680,10510,3615,18.62%,N
20241212,엑스게이트,356680,9250,3339,22.52%,N
20241210,브이티,18290,42550,2396,20.54%,N
20241206,동신건설,25950,44050,2237,21.02%,N
20241206,에이텍,45660,29500,2188,25.80%,N
20241120,위츠,459100,14690,18093,116.67%,Y
20241114,한화오션,42660,39200,7431,15.46%,N
20241111,펩트론,87010,110300,3188,16.35%,N
20241023,샤페론,378800,4733,2017,19.70%,N
20241018,와이제이링크,209640,10900,14409,70.85%,Y
20241016,대화제약,67080,21750,3109,20.03%,N
20241016,펩트론,87010,97500,5068,19.78%,N
20241011,에이비엘바이오,298380,40500,4335,15.22%,N
20241008,대화제약,67080,17290,2296,30.39%,N
20240920,유한양행,100,145400,20360,15.86%,N
20240920,넥스트바이오메디컬,389650,47400,3910,16.61%,Y
20240919,바이넥스,53030,27000,4527,18.94%,N
20240909,대봉엘에스,78140,22350,2148,24.17%,N
20240828,유한양행,100,135500,25291,20.23%,N
20240827,넥스트바이오메디컬,389650,33950,3517,24.36%,Y
20240821,화성밸브,39610,14310,3539,23.90%,N
20240821,티디에스팜,464280,52000,12224,92.59%,Y
20240819,씨젠,96530,34450,5269,21.73%,N
20240806,휴니드,5870,10330,3019,18.06%,N
20240806,아이빔테크놀로지,460470,13360,8739,33.60%,Y
20240801,넥슨게임즈,225570,28800,3428,19.75%,N
20240725,예스24,53280,6190,2053,22.57%,N
20240724,동구바이오제약,6620,8500,2008,20.74%,N
20240723,LS ELECTRIC,10120,51800,5146,16.40%,N
20240723,HD현대일렉트릭,267260,346000,6799,15.91%,N
20240723,화성밸브,39610,10990,2048,15.08%,N
20240723,대봉엘에스,78140,18950,2719,16.90%,N
20240719,펩트론,87010,78497,4108,31.92%,N
20240710,한중엔시에스,107640,55500,3221,18.09%,N
20240709,한전산업,130660,14670,2268,27.01%,N
20240709,우리기술,32820,2825,5228,16.26%,N
20240709,HB테크놀러지,78150,4550,4277,24.49%,N
20240702,대봉엘에스,78140,14210,2489,17.24%,N
20240701,솔루스첨단소재,336370,23050,5408,24.73%,N
20240701,펩트론,87010,56499,3225,18.02%,N
20240627,세명전기,17510,9010,3221,24.62%,N
20240626,데브시스터즈,194480,75700,2124,15.05%,N
20240625,삼성공조,6660,17300,2797,19.72%,N
20240625,워트,396470,16050,2675,25.29%,Y
20240621,GS,78930,53900,2371,20.85%,N
20240621,제룡전기,33100,84500,4238,16.71%,N
20240621,제룡산업,147830,9830,4464,26.84%,N
20240617,제이앤티씨,204270,22100,3454,16.62%,N
20240614,CJ씨푸드,11150,6320,4256,22.96%,N
20240613,한국가스공사,36460,51800,9489,16.54%,N
20240611,대주전자재료,78600,155800,6088,21.34%,N
20240610,덕산테코피아,317330,51000,2063,21.43%,N
20240605,화성밸브,39610,9870,4879,18.49%,N
20240604,알테오젠,196170,233500,10632,16.87%,N
20240604,에이팩트,200470,7250,2220,31.10%,N
20240603,한국가스공사,36460,38700,4981,29.87%,N
20240531,와이씨,232140,17910,6671,28.57%,N
20240530,대주전자재료,78600,121300,2644,15.30%,N
20240527,우진엔텍,457550,43800,2928,18.70%,Y
20240524,CJ씨푸드,11150,5050,2271,22.87%,N
20240524,이삭엔지니어링,351330,17870,2632,32.57%,N
20240523,노브랜드,145170,28366,15481,75.16%,Y
20240520,LS에코에너지,229640,36300,5410,22.64%,N
20240517,아이씨티케이,456010,28700,10716,43.57%,Y
20240516,켐트로닉스,89010,34800,4429,17.97%,N
20240513,대한전선,1440,18110,14938,20.73%,N
20240510,실리콘투,257720,26250,4665,19.32%,N
20240509,폴라리스오피스,41020,9660,5770,22.43%,N
20240509,클래시스,214150,48500,2839,19.02%,N
20240509,실리콘투,257720,20200,2586,28.58%,N
20240508,HD현대마린솔루션,443060,163900,21896,36.70%,Y
20240508,폴라리스AI,39980,18713,4054,31.00%,N
20240507,대원전선,6340,4170,5071,26.36%,N
20240502,제일일렉트릭,199820,9439,2906,16.92%,N
20240426,가온전선,500,47100,2142,21.08%,N
20240424,제룡전기,33100,61500,2994,16.04%,N
20240418,디아이,3160,24300,2662,20.00%,N
20240418,와이씨,232140,9460,4255,32.12%,N
20240417,유니셈,36200,11700,3259,19.27%,N
20240415,디아이,3160,22650,3118,19.53%,N
20240412,AP시스템,265520,27850,2140,18.01%,N
20240409,더존비즈온,12510,57800,2240,19.18%,N
20240409,자람테크놀로지,389020,112500,3675,18.42%,N
20240408,HLB테라퓨틱스,115450,14968,3625,15.97%,N
20240404,디아이,3160,16140,3232,19.11%,N
20240404,SKC,11790,122751,2496,15.57%,N
20240404,SK이터닉스,475150,22043,4530,19.96%,Y
20240404,이오테크닉스,39030,259000,3294,16.40%,N
20240404,하나마이크론,67310,28468,9718,17.67%,N
20240403,와이씨켐,112290,11330,2769,17.91%,N
20240403,필옵틱스,161580,27350,6393,23.48%,N
20240403,아이엠비디엑스,461030,36000,11193,26.09%,Y
20240402,엑시콘,92870,31909,5433,20.61%,N
20240328,한미반도체,42700,134000,13111,16.12%,N
20240328,가온칩스,399720,123000,5985,23.99%,N
20240326,삼천당제약,250,140400,13303,18.88%,N
20240326,엔젤로보틱스,455900,65000,19564,28.71%,Y
20240325,HLB생명과학,67630,23680,3294,18.54%,N
