date,name,code,close,trading_value_billion
20230808,유진로봇,056080,9280,5199
20230807,덕성,004830,11900,2770
20230807,서남,294630,12610,8379
20230807,와이랩,432430,13370,3060
20230804,폴라리스오피스,041020,6140,2595
20230804,레인보우로보틱스,277810,134000,6237
20230804,에코프로에이치엔,383310,103598,8567
20230803,덕성,004830,9690,2107
20230803,에스디바이오센서,137310,15240,2687
20230803,휴마시스,205470,15375,3526
20230803,모비스,250060,4400,2889
20230803,파로스아이바이오,388870,18920,2039
20230802,LS에코에너지,229640,10490,2833
20230801,폴라리스오피스,041020,5500,2067
20230801,신성델타테크,065350,19730,2553
20230801,서남,294630,6500,2097
20230801,솔트룩스,304100,45350,5825
20230731,두산,000150,106500,2205
20230731,솔트룩스,304100,37500,2679
20230728,포스코인터내셔널,047050,80000,12845
20230728,에코프로,086520,216605,21144
20230728,에코프로에이치엔,383310,81626,2198
20230727,LS에코에너지,229640,9540,2328
20230727,ISC,095340,107300,2162
20230725,LS,006260,120100,3114
20230725,LS ELECTRIC,010120,23100,4224
20230725,조일알미늄,018470,3910,3889
20230724,포스코인터내셔널,047050,66000,7198
20230720,포스코DX,022100,31050,13159
20230720,이녹스첨단소재,272290,48250,2379
20230719,에코프로에이치엔,383310,77231,6399
20230718,대주전자재료,078600,115800,2156
20230718,에코프로비엠,247540,326000,18321
20230717,가온칩스,399720,45500,2155
20230714,포스코엠텍,009520,33100,8509
20230713,포스코DX,022100,25250,14441
20230713,한미반도체,042700,41200,7981
20230712,TCC스틸,002710,51700,2227
20230711,포스코DX,022100,20250,9788
20230706,성우하이텍,015750,13520,8538
20230705,코스모화학,005420,55891,2890
20230704,알멕,354320,137200,3701
20230703,신성이엔지,011930,29550,4065
20230703,에코프로,086520,178150,25127
20230703,칩스앤미디어,094360,19200,2350
20230630,이수스페셜티케미컬,457190,65000,2793
20230630,삼보모터스,053700,7370,2073
20230630,오픈놀,440320,15750,9294
20230628,알루코,001780,4950,3111
20230626,큐렉소,060280,17500,2809
20230626,동운아나텍,094170,14581,2105
20230626,루닛,328130,39014,5149
20230623,기가비스,420770,92000,2201
20230622,코오롱인더,120110,55300,2442
20230620,루닛,328130,29577,3558
20230619,한화에어로스페이스,012450,139868,4544
20230619,애경케미칼,161000,26650,4269
20230619,에스와이,109610,5390,2966
20230616,PKC,001340,10992,3526
20230616,동국제강,460860,14840,3102
20230615,보라티알,250000,21250,2446
20230614,애경케미칼,161000,22500,5138
20230613,이수스페셜티케미컬,457190,80600,7160
20230613,크리스탈신소재,900250,4425,4534
20230612,이수스페셜티케미컬,457190,62000,3232
20230609,이수페타시스,007660,17301,6867
20230608,포스코인터내셔널,047050,38700,5359
20230608,마녀공장,439090,41600,4389
20230607,이수스페셜티케미컬,457190,42000,4980
20230607,에코프로,086520,129884,10999
20230602,인성정보,033230,3834,3024
20230601,두올,016740,4840,2515
20230531,이수화학,005950,26950,2468
